home_uid,host_uid,claude_label,claude_reason,final
uns-pmf:I011,utwente:202500342,2,Covers imperative basics - types control flow arrays methods recursion - plus OO; home substance is inside it.,no
uns-pmf:I011,utwente:202300357,0,Host is about concurrency and compilers; no substantive overlap with the home course.,no
uns-pmf:I011,utwente:202500343,1,Continuation course covering I/O and collections; assumes intro programming so only partial.,no
uns-pmf:I011,utwente:202500352,0,Host is about databases (SQL normalisation transactions); no substantive overlap with the home course.,no
uns-pmf:I011,utwente:202400444,0,Host is about agile web project; no substantive overlap with the home course.,no
uns-pmf:I011,utwente:202500568,0,Host is about functional and logic programming; no substantive overlap with the home course.,no
uns-pmf:I011,utwente:202500331,1,Algorithmics half teaches basic imperative constructs and simple algorithms; only a slice of the home course.,no
uns-pmf:I011,utwente:202500361,0,Host is about AI and machine learning; no substantive overlap with the home course.,no
uns-pmf:I011,utwente:202500332,0,Host is about intro databases and AI; no substantive overlap with the home course.,no
uns-pmf:I011,utwente:202500354,0,Host is about agile development project; no substantive overlap with the home course.,no
uns-pmf:I011,utwente:202500333,0,Host is about computer architecture and networks basics; no substantive overlap with the home course.,no
uns-pmf:I011,utwente:202500358,0,Host is about computer systems project; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202500568,0,Host is about functional and logic programming; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202500361,0,Host is about AI and machine learning; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202500331,0,Host is about search and sort algorithms plus functional programming; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202500332,0,Host is about intro databases and AI; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202200022,0,Host is about knowledge representation and data quality; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202500333,0,Host is about computer architecture and networks basics; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202300357,0,Host is about concurrency and compilers; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202001047,0,Host is about web science group project; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202500342,0,Host is about imperative and OO programming in Java; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202200024,0,Host is about DS&AI project; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202500356,0,Host is about computer architecture; no substantive overlap with the home course.,no
uns-pmf:I111,utwente:202500352,0,Host is about databases (SQL normalisation transactions); no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202500331,0,Host is about search and sort algorithms plus functional programming; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202500334,0,Host is about cryptography and IT law; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202001033,0,Host is about applied statistics; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202500568,0,Host is about functional and logic programming; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202500361,0,Host is about AI and machine learning; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202500333,0,Host is about computer architecture and networks basics; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202001047,0,Host is about web science group project; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202500352,0,Host is about databases (SQL normalisation transactions); no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202500332,0,Host is about intro databases and AI; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202500343,0,Host is about advanced Java programming; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202200024,0,Host is about DS&AI project; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202500362,0,Host is about UX design; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202400362,0,Host is about networking project; no substantive overlap with the home course.,no
uns-pmf:I112,utwente:202200023,0,Host is about explainable AI and ethics; no substantive overlap with the home course.,no
uns-pmf:I021,utwente:202300357,0,Host is about concurrency and compilers; no substantive overlap with the home course.,no
uns-pmf:I021,utwente:202500352,0,Host is about databases (SQL normalisation transactions); no substantive overlap with the home course.,no
uns-pmf:I021,utwente:202500342,0,Host is about imperative and OO programming in Java; no substantive overlap with the home course.,no
uns-pmf:I021,utwente:202400444,0,Host is about agile web project; no substantive overlap with the home course.,no
uns-pmf:I021,utwente:202200021,0,Host is about neural networks for data types; no substantive overlap with the home course.,no
uns-pmf:I021,utwente:202500331,0,Host is about search and sort algorithms plus functional programming; no substantive overlap with the home course.,no
uns-pmf:I021,utwente:202500333,0,Host is about computer architecture and networks basics; no substantive overlap with the home course.,no
uns-pmf:I021,utwente:202500356,0,Host is about computer architecture; no substantive overlap with the home course.,no
uns-pmf:I021,utwente:202500343,1,Uses lists sets and maps and choosing data structures but via library collections not pointer-based implementation.,no
