home_uid,host_uid,llm_label,llm_reason,label,checked
uns-pmf:I122,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I122,utwente:202500334,0,cryptography and law,0,yes
uns-pmf:I122,utwente:202500361,0,artificial intelligence,0,yes
uns-pmf:I122,utwente:202001047,0,web science project,0,yes
uns-pmf:I122,utwente:202001033,0,"statistics, not multivariable analysis",0,yes
uns-pmf:I122,utwente:202500333,0,computer architecture,0,yes
uns-pmf:I122,utwente:202500332,0,databases and machine learning,0,yes
uns-pmf:I122,utwente:202500568,0,programming paradigms,0,yes
uns-pmf:I122,utwente:202200024,0,data science project,0,yes
uns-pmf:I122,utwente:202500343,0,programming,0,yes
uns-pmf:I122,utwente:202500352,0,databases,0,yes
uns-pmf:I122,utwente:202500354,0,agile project work,0,yes
uns-pmf:I122,utwente:202200022,0,knowledge representation and data quality,0,yes
uns-pmf:I122,utwente:202400362,0,networking project,0,yes
uns-pmf:I122,utwente:202500362,0,user experience design,0,yes
uns-pmf:I031,utwente:202500332,2,"the databases half covers er modelling, a relational dbms and sql, which is the home substance",2,yes
uns-pmf:I031,utwente:202500352,2,"the host course is a databases course: relational design, sql and dbms use",2,yes
uns-pmf:I031,utwente:202400444,1,applies database management systems inside a project rather than teaching the model,0,yes
uns-pmf:I031,utwente:202500361,0,artificial intelligence,0,yes
uns-pmf:I031,utwente:202500341,1,modelling with uml overlaps with er modelling but not with sql or dbms internals,1,yes
uns-pmf:I031,utwente:202200021,0,machine learning per data type,0,yes
uns-pmf:I031,utwente:202500342,0,programming,0,yes
uns-pmf:I031,utwente:202300357,0,concurrency and compilers,0,yes
uns-pmf:I031,utwente:202001047,0,web science project,0,yes
uns-pmf:I031,utwente:202500354,1,"same module, data-centric development, but project work rather than database theory",0,yes
uns-pmf:I031,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I031,utwente:202500353,0,agile process side of the project,0,yes
uns-pmf:I031,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I031,utwente:202500357,0,operating systems,0,yes
uns-pmf:I142,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I142,utwente:202500361,0,artificial intelligence,0,yes
uns-pmf:I142,utwente:202300357,1,"parsing and compilation use grammars, but automata theory and decidability are absent",1,yes
uns-pmf:I142,utwente:202500568,1,language technology and parsing overlap; the formal language theory itself is not taught,1,yes
uns-pmf:I142,utwente:202500343,0,programming practice,0,yes
uns-pmf:I142,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I142,utwente:202200022,0,"knowledge representation, a different kind of formalism",0,yes
uns-pmf:I142,utwente:202500332,0,databases and machine learning,0,yes
uns-pmf:I142,utwente:202500342,0,programming,0,yes
uns-pmf:I142,utwente:202400444,0,project work,0,yes
uns-pmf:I142,utwente:202300106,0,a research project with no fixed subject matter,0,yes
uns-pmf:I142,utwente:202400608,0,internship,0,yes
uns-pmf:I142,utwente:202500334,0,cryptography and law,0,yes
uns-pmf:I144,utwente:202500332,0,databases and machine learning,0,yes
uns-pmf:I144,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I144,utwente:202001047,0,web science project,0,yes
uns-pmf:I144,utwente:202200024,0,data science project,0,yes
uns-pmf:I144,utwente:202500334,0,cryptography and law,0,yes
uns-pmf:I144,utwente:202500568,0,programming paradigms,0,yes
uns-pmf:I144,utwente:202500361,0,artificial intelligence,0,yes
uns-pmf:I144,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I144,utwente:202001045,0,"graph theory for social networks, not analytic geometry",0,yes
uns-pmf:I144,utwente:202500352,0,databases,0,yes
uns-pmf:I144,utwente:202001041,0,smart environments,0,yes
uns-pmf:I144,utwente:202001033,0,statistics,0,yes
uns-pmf:I144,utwente:202001046,0,game theory,0,yes
uns-pmf:I051,utwente:202500357,2,"an operating systems course covering the same processes, memory and file system material",2,yes
uns-pmf:I051,utwente:202500356,0,processor architecture rather than the operating system above it,0,yes
uns-pmf:I051,utwente:202300357,1,concurrent programming and synchronisation overlap; memory and file systems do not,1,yes
uns-pmf:I051,utwente:202500342,0,programming,0,yes
uns-pmf:I051,utwente:202500358,1,the module project applies operating systems material rather than teaching it,1,yes
uns-pmf:I051,utwente:202500333,1,the second half covers operating systems briefly alongside networks,0,yes
uns-pmf:I051,utwente:202500343,0,programming practice,0,yes
uns-pmf:I051,utwente:202500568,0,programming paradigms,0,yes
uns-pmf:I051,utwente:202500346,0,computer networks,0,yes
uns-pmf:I051,utwente:202500344,0,implementation project,0,yes
uns-pmf:I051,utwente:202500332,0,databases and machine learning,0,yes
uns-pmf:I051,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I051,utwente:202500354,0,agile project work,0,yes
uns-pmf:I051,utwente:202400444,0,project work,0,yes
uns-pmf:I151,utwente:202200022,1,knowledge representation and reasoning is one part of the home syllabus,1,yes
uns-pmf:I151,utwente:202500332,1,the intelligent interaction half introduces ai concepts and machine learning workflows,1,yes
uns-pmf:I151,utwente:202200024,0,project work on data science,1,yes
uns-pmf:I151,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I151,utwente:202500568,0,programming paradigms,0,yes
uns-pmf:I151,utwente:202500342,0,programming,0,yes
uns-pmf:I151,utwente:202500356,0,processor architecture,0,yes
uns-pmf:I151,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I151,utwente:202001046,0,"game theory equilibria, not adversarial search in ai",0,yes
uns-pmf:I151,utwente:202200203,0,embedded systems project,0,yes
uns-pmf:I151,utwente:202001041,0,smart environments,0,yes
uns-pmf:I151,utwente:202200201,0,software engineering for embedded systems,0,yes
uns-pmf:I151,utwente:202500351,0,web development and security,0,yes
uns-pmf:I151,utwente:202500354,0,agile project work,0,yes
uns-pmf:I143,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I143,utwente:202500361,0,"artificial intelligence; linear algebra is assumed, not taught",0,yes
uns-pmf:I143,utwente:202001047,0,web science project,0,yes
uns-pmf:I143,utwente:202001045,0,graph theory for social networks,0,yes
uns-pmf:I143,utwente:202500332,0,databases and machine learning,0,yes
uns-pmf:I143,utwente:202001033,0,statistics,0,yes
uns-pmf:I143,utwente:202200024,0,data science project,0,yes
uns-pmf:I143,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I143,utwente:202001046,0,game theory,0,yes
uns-pmf:I143,utwente:202500342,0,programming,0,yes
uns-pmf:I143,utwente:202001041,0,smart environments,0,yes
uns-pmf:I143,utwente:202500362,0,user experience design,0,yes
uns-pmf:I143,utwente:202500352,0,databases,0,yes
uns-pmf:I143,utwente:202200022,0,knowledge representation and data quality,0,yes
uns-pmf:I143,utwente:202500356,0,processor architecture,0,yes
uns-pmf:I162,utwente:202500361,0,artificial intelligence,0,yes
uns-pmf:I162,utwente:202001047,0,web science project,0,yes
uns-pmf:I162,utwente:202500332,0,databases and machine learning,0,yes
uns-pmf:I162,utwente:202001033,0,"statistics, not numerical methods",0,yes
uns-pmf:I162,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I162,utwente:202500341,0,design models,0,yes
uns-pmf:I162,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I162,utwente:202500343,0,programming practice,0,yes
uns-pmf:I162,utwente:202500568,0,programming paradigms,0,yes
uns-pmf:I162,utwente:202500354,0,agile project work,0,yes
uns-pmf:I162,utwente:202500353,0,agile project work,0,yes
